Video ID,Video Title,Channel Name,Channel ID,Comment Count,View Count,Like Count
tmvGpPcqCao,Florida Machete Murder - Q+A,BuzzFeed Unsolved Network,UCKijjvu6bN1c-ZHVwR7-5WA,1246,247124,16587
GaLdHd2J-xM,The Suspicious Case of the Reykjavik Confessions,BuzzFeed Unsolved Network,UCKijjvu6bN1c-ZHVwR7-5WA,10003,3544441,106925
N-FqJzC3tA8,The Unusual Australian Shark Arm Murders,BuzzFeed Unsolved Network,UCKijjvu6bN1c-ZHVwR7-5WA,9315,2948554,106073
PkUg89kLLBE,The Haunting of Hannah Williams,BuzzFeed Unsolved Network,UCKijjvu6bN1c-ZHVwR7-5WA,37223,7473727,220389
xBoKesAQFHU,The Eerie Case Of The Watcher,BuzzFeed Unsolved Network,UCKijjvu6bN1c-ZHVwR7-5WA,18843,4756090,185413
Bh9lIfocRMk,The Shocking Florida Machete Murder,BuzzFeed Unsolved Network,UCKijjvu6bN1c-ZHVwR7-5WA,7609,1894444,71866
YCnFYvL17v4,The Chilling Black Dahlia Murder Revisited,BuzzFeed Unsolved Network,UCKijjvu6bN1c-ZHVwR7-5WA,8101,4128672,118216
9GR3XSuInYE,The Hunt For La Llorona - The Weeping Woman,BuzzFeed Unsolved Network,UCKijjvu6bN1c-ZHVwR7-5WA,18777,3760407,143577
SiQ4t2EuhKU,The Tragic Murder Of JonBenét Ramsey,BuzzFeed Multiplayer,UCBUVGPsJzc1U8SECMgBaMFw,33541,10615214,212873
87y1_IbJRZE,The Horrifying Texarkana Phantom Killer,BuzzFeed Unsolved Network,UCKijjvu6bN1c-ZHVwR7-5WA,8870,2367712,84342
qg2nGY1aqlg,The Grisly Murders of Jack The Ripper,BuzzFeed Multiplayer,UCBUVGPsJzc1U8SECMgBaMFw,25935,8553696,203282
4aLfKYD_bGw,3 Videos From The Pentagon's Secret UFO Program,BuzzFeed Unsolved Network,UCKijjvu6bN1c-ZHVwR7-5WA,7561,3013563,74128
XG4rnKlgCN8,The Haunted Town Of Tombstone,BuzzFeed Unsolved Network,UCKijjvu6bN1c-ZHVwR7-5WA,9923,3392026,79569
5YYXyBq7e3A,The Demonic Bellaire House,BuzzFeed Multiplayer,UCBUVGPsJzc1U8SECMgBaMFw,24600,6586478,138378
