Video ID,Video Title,Channel Name,Channel ID,Comment Count,View Count,Like Count
gCN_KDRoUqI,Fast Food Spicy Chicken Sandwich Blind Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,355,172557,4142
MKM8Bx-dPxU,Fast Food Burger Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,6643,6944004,54801
EnPzb4BXcZ4,People Try Indian Street Food,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,5803,5051803,76002
MIpKrm41fA8,Fast Food Taco Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,2131,2633947,36678
SqYGGqTC_Us,The Jewish Food Taste Test,As/Is,UCay_OLhWtf9iklq8zg_or0g,10400,8450232,50941
Yxvf0YknqyQ,Costco vs. IKEA Food Court Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,635,346020,7023
eGsqlEW-uC0,Americans Try Exotic Japanese Kit Kats,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,4170,7429417,62569
lwYoQzO4qpI,Americans Try German Food For The First Time,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,19926,15586849,100828
UaQCWqYTqt0,People Try The New Sour Patch Kids Cereal,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,2448,1172026,19786
fDbtvpLHIpw,Americans Try Southern Food For The First Time,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,19041,9706609,79055
UVyhE3-_lCM,Italian Grandmas Try Olive Garden For The First Time,As/Is,UCay_OLhWtf9iklq8zg_or0g,19807,11475109,147676
NaF_TNtRfio,The Fast Food Chicken Sandwich Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,3219,4207425,35826
MQ4BSooyQd4,Which Restaurant Has The Best Free Bread?,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,8470,6975568,66583
i5jABvdn8Vo,Drunk Americans Try Drunk Food From Around The World,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,12246,15445581,163214
1vARrao4HH8,Americans Try Canadian Snacks For First Time,As/Is,UCay_OLhWtf9iklq8zg_or0g,27720,17040014,95297
3CAHMoyOZEA,Americans Try Vietnamese Street Food,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,7516,4242570,63865
Ss1rPfCw4uc,The Weirdest Canned Food Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,3580,7203219,54264
X4KVPgVCVs4,Americans Taste Test Mexican Snacks,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,10585,5615099,75606
8lK475dxZds,Americans Taste Exotic Asian Food,As/Is,UCay_OLhWtf9iklq8zg_or0g,27798,17064155,119890
SLGlExgXmC8,The Great American Oreo Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,5173,8178650,65374
vW7PKjH5LR8,Americans Taste Test Japanese Snacks,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,11242,11449640,63332
OEGvc3S41AA,The Ultimate Whataburger Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,11635,7617360,93961
myhVsrcNfkI,The Ultimate Fondue Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,4216,5659623,61290
1rnjp_YRl2o,The Ultimate Fast Food Breakfast Taste Test,BuzzFeed Multiplayer,UCBUVGPsJzc1U8SECMgBaMFw,1057,2511291,26804
l4Rxv4TAHMs,Discontinued Sodas Taste Test,As/Is,UCay_OLhWtf9iklq8zg_or0g,7677,9731217,68771
yZD65cYvyYY,Americans Try Midwest Food For The First Time,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,25859,9259074,56799
L5J62dfPq88,People Try Moonshine For The First Time,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,10971,13399856,127023
R-uJviYD2T4,Americans Try Korean Side Dishes,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,4093,4627994,43392
3L6Mb0evc0I,People Try Mexican Street Food,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,8131,8071284,90378
JM45NUAU2go,Indonesian Food Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,14282,4660845,79310
6vvP-cImU28,Extremely Spicy Snack Taste Test,BuzzFeed Multiplayer,UCBUVGPsJzc1U8SECMgBaMFw,2298,4821206,46730
RPK0F_LK1Mo,People Try Weird American Food That Shouldn’t Exist,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,7206,9679901,74720
LkU6XRbavPQ,We Tried Cheap Vs. Expensive Wines,Ladylike,UCcOeS5aEIadAhKtJ9_VKAIw,845,1065106,23983
DoVoi1THcOQ,Fast Food Nacho Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,1611,3236752,27472
8EXYqzKUOQM,Australians Taste Test American Snacks,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,13631,11593863,83095
Daf1WmJJh4k,People Try Bizarre Food Combinations That Oddly Work,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,14346,6692961,57885
P0UFubNUlqM,The Delivery Pizza Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,9655,9096335,75223
G7Sl7EaFYAI,Fast Food Coffee Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,3624,3631311,38168
Jv8N4C4YujM,Fast Food Fried Chicken Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,4959,4647233,57647
w2-FtU2pZes,Trump Grill Taste Test • The Try Guys,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,36150,18860586,286772
xID0WKjpLg0,Fast Food Chicken Nugget Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,2873,2800070,26214
8myRsD5VVoQ,Americans Try Dubai McDonald's,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,3276,2072899,25630
5pAnk9MKHzo,Keith Eats Everything At Olive Garden,The Try Guys,UCpi8TJfiA4lKGkaXs__YdBA,21908,6123225,183136
tJ3W2Y9Q0Dc,Indians Test Their Spice Tolerance | BuzzFeed India,BuzzFeed India,UCmDgY7fZKvgatlO0Tib2ggQ,1165,449921,15381
e3rDQJAr6_o,The Try Guys Danish Food Taste Test,BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,10463,7824948,125420
